Left,Right
dog,book
cookie,baby
bird,bottle
ball,cat
horse,clock
carrot,lamp
table,lion
sheep,hammer
car,fep
apple,wug
dax,cup
kreeb,shoe
monkey,toma
frog,pifo
dofa,train
modi,shovel
fep,car
wug,apple
cup,dax
shoe,kreeb
toma,monkey
pifo,frog
train,dofa
shovel,modi
