## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_8_1_13-eye_data.idf
## Date:	01.08.2014 21:28:44
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	23437                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_8_1_13                                                                                                                                                                                                                                                     
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
9998343331	SMP	1	974.01	1106.88	974.01	1106.88	Elmos World The Sky Active.avi
9998351731	SMP	1	837.58	1219.24	837.58	1219.24	Elmos World The Sky Active.avi
9998360082	SMP	1	848.64	1167.05	848.64	1167.05	Elmos World The Sky Active.avi
9998368477	SMP	1	961.73	1080.61	961.73	1080.61	Elmos World The Sky Active.avi
9998376702	SMP	1	867.46	1094.53	867.46	1094.53	Elmos World The Sky Active.avi
9998385136	SMP	1	889.91	1088.13	889.91	1088.13	Elmos World The Sky Active.avi
9998393590	SMP	1	867.52	1108.24	867.52	1108.24	Elmos World The Sky Active.avi
9998401866	SMP	1	879.36	1099.17	879.36	1099.17	Elmos World The Sky Active.avi
9998410083	SMP	1	890.56	1111.46	890.56	1111.46	Elmos World The Sky Active.avi
9998418434	SMP	1	902.91	1105.51	902.91	1105.51	Elmos World The Sky Active.avi
9998426868	SMP	1	882.39	1147.38	882.39	1147.38	Elmos World The Sky Active.avi
9998435095	SMP	1	916.78	1091.77	916.78	1091.77	Elmos World The Sky Active.avi
9998443503	SMP	1	936.85	1060.94	936.85	1060.94	Elmos World The Sky Active.avi
9998451885	SMP	1	881.09	1116.17	881.09	1116.17	Elmos World The Sky Active.avi
9998460206	SMP	1	862.61	1125.46	862.61	1125.46	Elmos World The Sky Active.avi
9998468480	SMP	1	767.95	1077.22	767.95	1077.22	Elmos World The Sky Active.avi
9998476842	SMP	1	575.01	1030.76	575.01	1030.76	Elmos World The Sky Active.avi
9998485254	SMP	1	438.49	1061.85	438.49	1061.85	Elmos World The Sky Active.avi
9998493584	SMP	1	292.14	1061.51	292.14	1061.51	Elmos World The Sky Active.avi
9998501868	SMP	1	189.6	1067.8	189.6	1067.8	Elmos World The Sky Active.avi
9998510255	SMP	1	206.07	1059.82	206.07	1059.82	Elmos World The Sky Active.avi
9998518623	SMP	1	218.19	1047.7	218.19	1047.7	Elmos World The Sky Active.avi
9998526968	SMP	1	200.85	1038.93	200.85	1038.93	Elmos World The Sky Active.avi
9998535207	SMP	1	194.64	1036.36	194.64	1036.36	Elmos World The Sky Active.avi
9998543623	SMP	1	198.8	1049.74	198.8	1049.74	Elmos World The Sky Active.avi
9998552012	SMP	1	204.02	1058.29	204.02	1058.29	Elmos World The Sky Active.avi
9998560190	SMP	1	204.97	1055.02	204.97	1055.02	Elmos World The Sky Active.avi
9998568565	SMP	1	207.63	1052.89	207.63	1052.89	Elmos World The Sky Active.avi
9998576982	SMP	1	203.27	1047.84	203.27	1047.84	Elmos World The Sky Active.avi
9998585376	SMP	1	200.79	1043.67	200.79	1043.67	Elmos World The Sky Active.avi
9998593592	SMP	1	209.22	1030.74	209.22	1030.74	Elmos World The Sky Active.avi
9998601998	SMP	1	207.12	1049.89	207.12	1049.89	Elmos World The Sky Active.avi
9998610385	SMP	1	206.75	1058.17	206.75	1058.17	Elmos World The Sky Active.avi
9998618706	SMP	1	205.27	1062.03	205.27	1062.03	Elmos World The Sky Active.avi
9998626983	SMP	1	205.17	1063.01	205.17	1063.01	Elmos World The Sky Active.avi
9998635395	SMP	1	205.67	1067.55	205.67	1067.55	Elmos World The Sky Active.avi
9998643742	SMP	1	204.68	1067.45	204.68	1067.45	Elmos World The Sky Active.avi
9998652075	SMP	1	203.74	1065.4	203.74	1065.4	Elmos World The Sky Active.avi
9998660330	SMP	1	204.53	1054.5	204.53	1054.5	Elmos World The Sky Active.avi
9998668794	SMP	1	217.54	1057.11	217.54	1057.11	Elmos World The Sky Active.avi
9998677095	SMP	1	218.72	1039.62	218.72	1039.62	Elmos World The Sky Active.avi
9998685345	SMP	1	208.77	1067	208.77	1067	Elmos World The Sky Active.avi
9998693701	SMP	1	206.53	1072.29	206.53	1072.29	Elmos World The Sky Active.avi
9998702119	SMP	1	204.87	1067.21	204.87	1067.21	Elmos World The Sky Active.avi
9998710473	SMP	1	206.42	1061.52	206.42	1061.52	Elmos World The Sky Active.avi
9998718751	SMP	1	212.14	1071.48	212.14	1071.48	Elmos World The Sky Active.avi
9998727109	SMP	1	96.76	1117.77	96.76	1117.77	Elmos World The Sky Active.avi
9998735510	SMP	1	-8.45	1188.31	-8.45	1188.31	Elmos World The Sky Active.avi
9998743856	SMP	1	13.05	1162.3	13.05	1162.3	Elmos World The Sky Active.avi
9998752127	SMP	1	51.9	1163.21	51.9	1163.21	Elmos World The Sky Active.avi
9998760474	SMP	1	22.62	1181.96	22.62	1181.96	Elmos World The Sky Active.avi
