## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_8_20_41-eye_data.idf
## Date:	20.08.2014 21:03:29
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	18784                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_8_20_41                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
12359667932	SMP	1	478.11	307.77	478.11	307.77	Elmos World The Sky Active.avi
12359676354	SMP	1	468.81	308.32	468.81	308.32	Elmos World The Sky Active.avi
12359684672	SMP	1	476.36	304.72	476.36	304.72	Elmos World The Sky Active.avi
12359692935	SMP	1	473.03	306.87	473.03	306.87	Elmos World The Sky Active.avi
12359701301	SMP	1	476.53	307.02	476.53	307.02	Elmos World The Sky Active.avi
12359709698	SMP	1	473.28	306.7	473.28	306.7	Elmos World The Sky Active.avi
12359717922	SMP	1	476.84	309.44	476.84	309.44	Elmos World The Sky Active.avi
12359726418	SMP	1	477.08	305.92	477.08	305.92	Elmos World The Sky Active.avi
12359734715	SMP	1	477.82	307.51	477.82	307.51	Elmos World The Sky Active.avi
12359743072	SMP	1	481.4	304.65	481.4	304.65	Elmos World The Sky Active.avi
12359751336	SMP	1	478.14	311.84	478.14	311.84	Elmos World The Sky Active.avi
12359759695	SMP	1	481.26	310.87	481.26	310.87	Elmos World The Sky Active.avi
12359768043	SMP	1	473.49	307.52	473.49	307.52	Elmos World The Sky Active.avi
12359776453	SMP	1	481.56	309.98	481.56	309.98	Elmos World The Sky Active.avi
