## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_11_15_120-eye_data.idf
## Date:	15.11.2014 19:10:01
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	24707                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_11_15_120                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
2741723654	SMP	1	87.32	761.49	87.32	761.49	Elmos World The Sky Active.avi
2741731897	SMP	1	85.66	769.55	85.66	769.55	Elmos World The Sky Active.avi
2741740268	SMP	1	79.43	785.3	79.43	785.3	Elmos World The Sky Active.avi
2741748649	SMP	1	82.52	778.93	82.52	778.93	Elmos World The Sky Active.avi
2741757021	SMP	1	81.06	782.93	81.06	782.93	Elmos World The Sky Active.avi
2741765271	SMP	1	81.77	786.16	81.77	786.16	Elmos World The Sky Active.avi
2741773612	SMP	1	80.05	783.44	80.05	783.44	Elmos World The Sky Active.avi
2741782062	SMP	1	82.11	791.14	82.11	791.14	Elmos World The Sky Active.avi
2741790492	SMP	1	82.81	788.53	82.81	788.53	Elmos World The Sky Active.avi
2741798622	SMP	1	81.93	791	81.93	791	Elmos World The Sky Active.avi
2741806998	SMP	1	82.18	794.14	82.18	794.14	Elmos World The Sky Active.avi
2741815413	SMP	1	81.11	796.64	81.11	796.64	Elmos World The Sky Active.avi
2741823758	SMP	1	79.34	797.22	79.34	797.22	Elmos World The Sky Active.avi
2741832055	SMP	1	80.32	798.95	80.32	798.95	Elmos World The Sky Active.avi
2741840368	SMP	1	80.54	801.09	80.54	801.09	Elmos World The Sky Active.avi
2741848817	SMP	1	80.49	800.31	80.49	800.31	Elmos World The Sky Active.avi
2741857179	SMP	1	81.25	801.92	81.25	801.92	Elmos World The Sky Active.avi
2741865394	SMP	1	82.25	801.87	82.25	801.87	Elmos World The Sky Active.avi
2741873752	SMP	1	83.84	801.95	83.84	801.95	Elmos World The Sky Active.avi
2741882176	SMP	1	83.67	802.5	83.67	802.5	Elmos World The Sky Active.avi
2741890389	SMP	1	85.13	801.44	85.13	801.44	Elmos World The Sky Active.avi
2741898802	SMP	1	85.43	802.21	85.43	802.21	Elmos World The Sky Active.avi
2741907112	SMP	1	87.55	801.23	87.55	801.23	Elmos World The Sky Active.avi
2741915634	SMP	1	89.82	801.71	89.82	801.71	Elmos World The Sky Active.avi
2741923812	SMP	1	90.53	800.94	90.53	800.94	Elmos World The Sky Active.avi
2741932178	SMP	1	91.45	799.59	91.45	799.59	Elmos World The Sky Active.avi
2741940521	SMP	1	91.68	801.77	91.68	801.77	Elmos World The Sky Active.avi
2741948920	SMP	1	93.12	800.61	93.12	800.61	Elmos World The Sky Active.avi
2741957186	SMP	1	93.94	802.16	93.94	802.16	Elmos World The Sky Active.avi
2741965566	SMP	1	93.42	801.48	93.42	801.48	Elmos World The Sky Active.avi
2741973913	SMP	1	94.11	803.03	94.11	803.03	Elmos World The Sky Active.avi
2741982250	SMP	1	93.55	807.27	93.55	807.27	Elmos World The Sky Active.avi
2741990551	SMP	1	94.71	803.1	94.71	803.1	Elmos World The Sky Active.avi
2741998891	SMP	1	129.29	797.12	129.29	797.12	Elmos World The Sky Active.avi
2742007288	SMP	1	273.36	705.53	273.36	705.53	Elmos World The Sky Active.avi
2742015647	SMP	1	360.19	696.2	360.19	696.2	Elmos World The Sky Active.avi
2742023944	SMP	1	430.85	634.17	430.85	634.17	Elmos World The Sky Active.avi
2742032253	SMP	1	526.3	544.57	526.3	544.57	Elmos World The Sky Active.avi
2742040688	SMP	1	618.35	490.45	618.35	490.45	Elmos World The Sky Active.avi
2742048923	SMP	1	624.42	346.04	624.42	346.04	Elmos World The Sky Active.avi
2742057289	SMP	1	721.56	321.07	721.56	321.07	Elmos World The Sky Active.avi
2742065660	SMP	1	833.95	263.42	833.95	263.42	Elmos World The Sky Active.avi
2742074027	SMP	1	773.97	208.64	773.97	208.64	Elmos World The Sky Active.avi
2742082257	SMP	1	785.5	213.97	785.5	213.97	Elmos World The Sky Active.avi
2742090644	SMP	1	794.49	203.46	794.49	203.46	Elmos World The Sky Active.avi
2742099057	SMP	1	793.33	202.14	793.33	202.14	Elmos World The Sky Active.avi
2742107405	SMP	1	793.12	192.19	793.12	192.19	Elmos World The Sky Active.avi
2742115634	SMP	1	793.14	191.29	793.14	191.29	Elmos World The Sky Active.avi
2742124066	SMP	1	794.59	191.26	794.59	191.26	Elmos World The Sky Active.avi
2742132374	SMP	1	794.5	188.92	794.5	188.92	Elmos World The Sky Active.avi
2742140634	SMP	1	792.27	186.88	792.27	186.88	Elmos World The Sky Active.avi
2742149139	SMP	1	793.31	189.87	793.31	189.87	Elmos World The Sky Active.avi
2742157496	SMP	1	792.91	184.88	792.91	184.88	Elmos World The Sky Active.avi
2742165766	SMP	1	794.34	178.55	794.34	178.55	Elmos World The Sky Active.avi
2742174028	SMP	1	794.49	178.45	794.49	178.45	Elmos World The Sky Active.avi
2742182363	SMP	1	796.59	175.65	796.59	175.65	Elmos World The Sky Active.avi
2742190788	SMP	1	798.53	175.99	798.53	175.99	Elmos World The Sky Active.avi
2742199097	SMP	1	798.39	174.1	798.39	174.1	Elmos World The Sky Active.avi
2742207392	SMP	1	796.61	172.25	796.61	172.25	Elmos World The Sky Active.avi
2742215797	SMP	1	798.3	171.05	798.3	171.05	Elmos World The Sky Active.avi
2742224168	SMP	1	795.53	170.93	795.53	170.93	Elmos World The Sky Active.avi
2742232630	SMP	1	795.64	169.36	795.64	169.36	Elmos World The Sky Active.avi
2742240803	SMP	1	795.58	168.74	795.58	168.74	Elmos World The Sky Active.avi
2742249160	SMP	1	796.82	167.27	796.82	167.27	Elmos World The Sky Active.avi
2742257577	SMP	1	796.65	167.13	796.65	167.13	Elmos World The Sky Active.avi
2742265886	SMP	1	797.22	166.12	797.22	166.12	Elmos World The Sky Active.avi
2742274151	SMP	1	795.65	164.87	795.65	164.87	Elmos World The Sky Active.avi
2742282523	SMP	1	793.46	163.55	793.46	163.55	Elmos World The Sky Active.avi
2742290887	SMP	1	792.26	161.97	792.26	161.97	Elmos World The Sky Active.avi
2742299149	SMP	1	792.49	160.37	792.49	160.37	Elmos World The Sky Active.avi
2742307485	SMP	1	793.29	159.37	793.29	159.37	Elmos World The Sky Active.avi
2742315854	SMP	1	796.93	156.13	796.93	156.13	Elmos World The Sky Active.avi
2742324270	SMP	1	794.44	156.88	794.44	156.88	Elmos World The Sky Active.avi
2742332479	SMP	1	797.21	156.29	797.21	156.29	Elmos World The Sky Active.avi
2742340864	SMP	1	796.59	154.86	796.59	154.86	Elmos World The Sky Active.avi
2742349281	SMP	1	797.86	154.26	797.86	154.26	Elmos World The Sky Active.avi
2742357647	SMP	1	796.29	154.31	796.29	154.31	Elmos World The Sky Active.avi
2742365889	SMP	1	795.23	154.88	795.23	154.88	Elmos World The Sky Active.avi
2742374236	SMP	1	796.58	152.79	796.58	152.79	Elmos World The Sky Active.avi
2742382630	SMP	1	797.47	151.43	797.47	151.43	Elmos World The Sky Active.avi
2742391035	SMP	1	798.61	152.17	798.61	152.17	Elmos World The Sky Active.avi
2742399283	SMP	1	797.01	151.98	797.01	151.98	Elmos World The Sky Active.avi
2742407656	SMP	1	795.44	151.56	795.44	151.56	Elmos World The Sky Active.avi
2742415983	SMP	1	795.69	149.79	795.69	149.79	Elmos World The Sky Active.avi
2742424558	SMP	1	795.52	148.74	795.52	148.74	Elmos World The Sky Active.avi
2742432653	SMP	1	794.69	147.67	794.69	147.67	Elmos World The Sky Active.avi
2742441033	SMP	1	794.93	146.33	794.93	146.33	Elmos World The Sky Active.avi
2742449453	SMP	1	795.24	148.08	795.24	148.08	Elmos World The Sky Active.avi
2742457619	SMP	1	795.77	146.39	795.77	146.39	Elmos World The Sky Active.avi
2742466017	SMP	1	795.2	174.14	795.2	174.14	Elmos World The Sky Active.avi
2742474393	SMP	1	789.67	374.36	789.67	374.36	Elmos World The Sky Active.avi
2742482734	SMP	1	783.63	475.11	783.63	475.11	Elmos World The Sky Active.avi
2742491039	SMP	1	782.15	482.14	782.15	482.14	Elmos World The Sky Active.avi
2742499510	SMP	1	783.16	455.4	783.16	455.4	Elmos World The Sky Active.avi
2742507749	SMP	1	783.41	478.02	783.41	478.02	Elmos World The Sky Active.avi
2742516132	SMP	1	782.27	484.04	782.27	484.04	Elmos World The Sky Active.avi
2742524411	SMP	1	782.98	477.93	782.98	477.93	Elmos World The Sky Active.avi
2742532797	SMP	1	778.31	476.37	778.31	476.37	Elmos World The Sky Active.avi
2742541152	SMP	1	775.38	478.59	775.38	478.59	Elmos World The Sky Active.avi
2742549527	SMP	1	772.97	472.68	772.97	472.68	Elmos World The Sky Active.avi
2742557883	SMP	1	771.6	473.89	771.6	473.89	Elmos World The Sky Active.avi
2742566131	SMP	1	772.21	475.94	772.21	475.94	Elmos World The Sky Active.avi
2742574482	SMP	1	772.79	480.01	772.79	480.01	Elmos World The Sky Active.avi
2742582719	SMP	1	774.64	475.49	774.64	475.49	Elmos World The Sky Active.avi
2742591159	SMP	1	773.82	474.78	773.82	474.78	Elmos World The Sky Active.avi
2742599563	SMP	1	774.63	474.27	774.63	474.27	Elmos World The Sky Active.avi
2742607904	SMP	1	774.24	473.84	774.24	473.84	Elmos World The Sky Active.avi
2742616174	SMP	1	773.19	475.15	773.19	475.15	Elmos World The Sky Active.avi
2742624532	SMP	1	773.99	472.06	773.99	472.06	Elmos World The Sky Active.avi
2742632873	SMP	1	776.49	472.71	776.49	472.71	Elmos World The Sky Active.avi
2742641265	SMP	1	776.69	473.5	776.69	473.5	Elmos World The Sky Active.avi
2742649571	SMP	1	776.27	471.41	776.27	471.41	Elmos World The Sky Active.avi
2742657882	SMP	1	776.77	466.05	776.77	466.05	Elmos World The Sky Active.avi
2742666213	SMP	1	776.91	468.13	776.91	468.13	Elmos World The Sky Active.avi
2742674688	SMP	1	778.14	464.82	778.14	464.82	Elmos World The Sky Active.avi
2742682894	SMP	1	779.37	465.72	779.37	465.72	Elmos World The Sky Active.avi
2742691280	SMP	1	778.88	469.8	778.88	469.8	Elmos World The Sky Active.avi
2742699597	SMP	1	781.14	462.82	781.14	462.82	Elmos World The Sky Active.avi
2742707895	SMP	1	779.97	465.39	779.97	465.39	Elmos World The Sky Active.avi
2742716245	SMP	1	782.92	464.79	782.92	464.79	Elmos World The Sky Active.avi
2742724674	SMP	1	780.07	464.39	780.07	464.39	Elmos World The Sky Active.avi
2742732984	SMP	1	781.18	468.07	781.18	468.07	Elmos World The Sky Active.avi
2742741235	SMP	1	782.99	465.8	782.99	465.8	Elmos World The Sky Active.avi
2742749691	SMP	1	779.78	468.67	779.78	468.67	Elmos World The Sky Active.avi
2742758024	SMP	1	784.6	469.46	784.6	469.46	Elmos World The Sky Active.avi
2742766491	SMP	1	782.69	469.9	782.69	469.9	Elmos World The Sky Active.avi
2742774615	SMP	1	779.41	469.77	779.41	469.77	Elmos World The Sky Active.avi
2742782993	SMP	1	781.6	470.71	781.6	470.71	Elmos World The Sky Active.avi
2742791400	SMP	1	780.49	469.2	780.49	469.2	Elmos World The Sky Active.avi
2742799771	SMP	1	781.97	466.21	781.97	466.21	Elmos World The Sky Active.avi
2742808051	SMP	1	780.07	464.71	780.07	464.71	Elmos World The Sky Active.avi
2742816365	SMP	1	781.29	463.63	781.29	463.63	Elmos World The Sky Active.avi
2742824803	SMP	1	780.51	465.5	780.51	465.5	Elmos World The Sky Active.avi
2742832991	SMP	1	783.12	460.83	783.12	460.83	Elmos World The Sky Active.avi
2742841393	SMP	1	784.69	458.13	784.69	458.13	Elmos World The Sky Active.avi
2742849748	SMP	1	786.2	453.52	786.2	453.52	Elmos World The Sky Active.avi
2742858111	SMP	1	783.77	454.98	783.77	454.98	Elmos World The Sky Active.avi
2742866401	SMP	1	787.24	455.42	787.24	455.42	Elmos World The Sky Active.avi
2742874752	SMP	1	786.57	452.4	786.57	452.4	Elmos World The Sky Active.avi
2742883114	SMP	1	786.2	453.09	786.2	453.09	Elmos World The Sky Active.avi
2742891499	SMP	1	786.81	454.99	786.81	454.99	Elmos World The Sky Active.avi
2742899704	SMP	1	787.31	457.04	787.31	457.04	Elmos World The Sky Active.avi
2742908140	SMP	1	785.61	458.02	785.61	458.02	Elmos World The Sky Active.avi
2742916492	SMP	1	784.79	458.81	784.79	458.81	Elmos World The Sky Active.avi
2742924918	SMP	1	784.58	453.61	784.58	453.61	Elmos World The Sky Active.avi
2742933165	SMP	1	783.87	454.81	783.87	454.81	Elmos World The Sky Active.avi
2742941526	SMP	1	783.73	457.72	783.73	457.72	Elmos World The Sky Active.avi
2742949919	SMP	1	782.44	452.47	782.44	452.47	Elmos World The Sky Active.avi
2742958147	SMP	1	782.37	459.56	782.37	459.56	Elmos World The Sky Active.avi
2742966457	SMP	1	782.98	458.38	782.98	458.38	Elmos World The Sky Active.avi
2742974872	SMP	1	781.68	457.34	781.68	457.34	Elmos World The Sky Active.avi
2742983230	SMP	1	784.36	453.23	784.36	453.23	Elmos World The Sky Active.avi
2742991496	SMP	1	785.54	454.53	785.54	454.53	Elmos World The Sky Active.avi
2742999900	SMP	1	784.55	453.5	784.55	453.5	Elmos World The Sky Active.avi
2743008263	SMP	1	787.08	452.48	787.08	452.48	Elmos World The Sky Active.avi
2743016608	SMP	1	783.6	449.35	783.6	449.35	Elmos World The Sky Active.avi
2743024897	SMP	1	788.53	457.7	788.53	457.7	Elmos World The Sky Active.avi
2743033237	SMP	1	786.08	453.62	786.08	453.62	Elmos World The Sky Active.avi
2743041560	SMP	1	787.96	456.86	787.96	456.86	Elmos World The Sky Active.avi
