## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_9_4_75-eye_data.idf
## Date:	04.09.2014 18:20:11
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	24635                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_9_4_75                                                                                                                                                                                                                                                     
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
4330584887	SMP	1	820.64	99.54	820.64	99.54	Elmos World The Sky Active.avi
4330593237	SMP	1	836.67	300.43	836.67	300.43	Elmos World The Sky Active.avi
4330601615	SMP	1	832.83	287.19	832.83	287.19	Elmos World The Sky Active.avi
4330609847	SMP	1	831.24	277.66	831.24	277.66	Elmos World The Sky Active.avi
4330618215	SMP	1	835.18	281.22	835.18	281.22	Elmos World The Sky Active.avi
4330626583	SMP	1	839.73	274.27	839.73	274.27	Elmos World The Sky Active.avi
4330635003	SMP	1	839.23	270.06	839.23	270.06	Elmos World The Sky Active.avi
4330643261	SMP	1	835.12	266.77	835.12	266.77	Elmos World The Sky Active.avi
4330651598	SMP	1	841.26	272.32	841.26	272.32	Elmos World The Sky Active.avi
4330659971	SMP	1	836.3	270.31	836.3	270.31	Elmos World The Sky Active.avi
4330668353	SMP	1	837.97	268.71	837.97	268.71	Elmos World The Sky Active.avi
4330676547	SMP	1	841.28	268.48	841.28	268.48	Elmos World The Sky Active.avi
4330684975	SMP	1	840.82	268.23	840.82	268.23	Elmos World The Sky Active.avi
4330693383	SMP	1	840.34	266.93	840.34	266.93	Elmos World The Sky Active.avi
4330701651	SMP	1	842.07	267.64	842.07	267.64	Elmos World The Sky Active.avi
4330709996	SMP	1	842.08	269.12	842.08	269.12	Elmos World The Sky Active.avi
4330718305	SMP	1	838.16	268.06	838.16	268.06	Elmos World The Sky Active.avi
4330726726	SMP	1	837.24	274.95	837.24	274.95	Elmos World The Sky Active.avi
4330735031	SMP	1	839.48	273.45	839.48	273.45	Elmos World The Sky Active.avi
4330743382	SMP	1	834.61	274.21	834.61	274.21	Elmos World The Sky Active.avi
4330751723	SMP	1	839.64	273.35	839.64	273.35	Elmos World The Sky Active.avi
