## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_9_5_83-eye_data.idf
## Date:	05.09.2014 19:19:20
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	24691                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_9_5_83                                                                                                                                                                                                                                                     
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
7836275640	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836325651	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836375714	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836425749	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836475859	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836525799	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836575765	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836625853	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836675894	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836725885	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836776045	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836825877	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836875989	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836926000	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7836976022	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837025985	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837076006	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837126228	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837176145	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837226324	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837276151	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837326181	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837376216	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837426278	SMP	1	0	0	0	0	Elmos World The Sky Active.avi
7837499110	SMP	1	869.66	547.26	869.66	547.26	Elmos World The Sky Active.avi
7837507272	SMP	1	876.03	542.51	876.03	542.51	Elmos World The Sky Active.avi
7837515647	SMP	1	871.92	543.99	871.92	543.99	Elmos World The Sky Active.avi
7837523922	SMP	1	874.06	547.34	874.06	547.34	Elmos World The Sky Active.avi
7837532292	SMP	1	876.21	546.33	876.21	546.33	Elmos World The Sky Active.avi
7837540734	SMP	1	875.02	543.26	875.02	543.26	Elmos World The Sky Active.avi
7837549019	SMP	1	876.46	544.37	876.46	544.37	Elmos World The Sky Active.avi
7837557278	SMP	1	874.58	544.19	874.58	544.19	Elmos World The Sky Active.avi
7837565651	SMP	1	873.97	543.8	873.97	543.8	Elmos World The Sky Active.avi
7837574056	SMP	1	874.44	545.24	874.44	545.24	Elmos World The Sky Active.avi
7837582236	SMP	1	872.94	543.01	872.94	543.01	Elmos World The Sky Active.avi
7837590627	SMP	1	873.65	541.52	873.65	541.52	Elmos World The Sky Active.avi
7837599138	SMP	1	872.62	542.05	872.62	542.05	Elmos World The Sky Active.avi
7837607416	SMP	1	871.75	541.53	871.75	541.53	Elmos World The Sky Active.avi
7837615650	SMP	1	871.58	539.84	871.58	539.84	Elmos World The Sky Active.avi
7837624040	SMP	1	868.28	541.73	868.28	541.73	Elmos World The Sky Active.avi
7837632408	SMP	1	869.03	541.27	869.03	541.27	Elmos World The Sky Active.avi
7837640792	SMP	1	867.75	539.83	867.75	539.83	Elmos World The Sky Active.avi
7837649120	SMP	1	870.24	539.23	870.24	539.23	Elmos World The Sky Active.avi
7837657407	SMP	1	869.61	536.31	869.61	536.31	Elmos World The Sky Active.avi
7837665804	SMP	1	868	533.21	868	533.21	Elmos World The Sky Active.avi
7837674557	SMP	1	870.05	532.86	870.05	532.86	Elmos World The Sky Active.avi
7837682402	SMP	1	869.16	532.7	869.16	532.7	Elmos World The Sky Active.avi
7837690729	SMP	1	868.68	529.74	868.68	529.74	Elmos World The Sky Active.avi
7837699135	SMP	1	869.23	530.29	869.23	530.29	Elmos World The Sky Active.avi
7837707400	SMP	1	869.8	528.36	869.8	528.36	Elmos World The Sky Active.avi
7837715750	SMP	1	870.94	528.02	870.94	528.02	Elmos World The Sky Active.avi
7837724204	SMP	1	870.08	528.54	870.08	528.54	Elmos World The Sky Active.avi
7837732832	SMP	1	869.26	525.45	869.26	525.45	Elmos World The Sky Active.avi
7837740777	SMP	1	867.87	523.43	867.87	523.43	Elmos World The Sky Active.avi
7837749162	SMP	1	865.74	525.24	865.74	525.24	Elmos World The Sky Active.avi
7837757544	SMP	1	866.88	525.54	866.88	525.54	Elmos World The Sky Active.avi
7837765831	SMP	1	865.98	523.98	865.98	523.98	Elmos World The Sky Active.avi
7837774165	SMP	1	866.31	523.24	866.31	523.24	Elmos World The Sky Active.avi
7837782506	SMP	1	865.69	525.81	865.69	525.81	Elmos World The Sky Active.avi
7837790917	SMP	1	865.98	524.13	865.98	524.13	Elmos World The Sky Active.avi
7837799260	SMP	1	865.5	525.44	865.5	525.44	Elmos World The Sky Active.avi
7837807532	SMP	1	865.13	525.37	865.13	525.37	Elmos World The Sky Active.avi
7837815926	SMP	1	864.98	524.49	864.98	524.49	Elmos World The Sky Active.avi
7837824259	SMP	1	864.58	525.09	864.58	525.09	Elmos World The Sky Active.avi
7837832652	SMP	1	865.01	525.85	865.01	525.85	Elmos World The Sky Active.avi
7837840877	SMP	1	866.34	524.79	866.34	524.79	Elmos World The Sky Active.avi
7837849313	SMP	1	865.2	523.69	865.2	523.69	Elmos World The Sky Active.avi
7837857652	SMP	1	865.6	525.39	865.6	525.39	Elmos World The Sky Active.avi
7837865882	SMP	1	865.72	525.74	865.72	525.74	Elmos World The Sky Active.avi
7837874317	SMP	1	865.12	525.35	865.12	525.35	Elmos World The Sky Active.avi
7837882630	SMP	1	864.69	524.75	864.69	524.75	Elmos World The Sky Active.avi
7837891007	SMP	1	865.08	523.66	865.08	523.66	Elmos World The Sky Active.avi
7837899222	SMP	1	864.62	524.59	864.62	524.59	Elmos World The Sky Active.avi
7837907672	SMP	1	864.09	523.95	864.09	523.95	Elmos World The Sky Active.avi
7837916011	SMP	1	865.05	523.26	865.05	523.26	Elmos World The Sky Active.avi
7837924383	SMP	1	864.27	523.58	864.27	523.58	Elmos World The Sky Active.avi
7837932675	SMP	1	863.98	525.33	863.98	525.33	Elmos World The Sky Active.avi
7837941002	SMP	1	864.08	526.04	864.08	526.04	Elmos World The Sky Active.avi
7837949324	SMP	1	863.18	527.13	863.18	527.13	Elmos World The Sky Active.avi
7837957704	SMP	1	862.84	528	862.84	528	Elmos World The Sky Active.avi
7837966020	SMP	1	864.29	526.84	864.29	526.84	Elmos World The Sky Active.avi
7837974482	SMP	1	863.16	526.95	863.16	526.95	Elmos World The Sky Active.avi
7837982777	SMP	1	862.91	526.34	862.91	526.34	Elmos World The Sky Active.avi
7837991135	SMP	1	862.46	525.63	862.46	525.63	Elmos World The Sky Active.avi
7837999385	SMP	1	863.7	526.12	863.7	526.12	Elmos World The Sky Active.avi
7838007753	SMP	1	864.59	527.3	864.59	527.3	Elmos World The Sky Active.avi
7838016139	SMP	1	864.23	526.97	864.23	526.97	Elmos World The Sky Active.avi
7838024366	SMP	1	864.38	526.79	864.38	526.79	Elmos World The Sky Active.avi
7838032706	SMP	1	864.78	527.49	864.78	527.49	Elmos World The Sky Active.avi
7838041374	SMP	1	864.88	526.57	864.88	526.57	Elmos World The Sky Active.avi
7838049526	SMP	1	864.77	526.66	864.77	526.66	Elmos World The Sky Active.avi
7838057783	SMP	1	866.33	529	866.33	529	Elmos World The Sky Active.avi
7838066085	SMP	1	866.27	529.6	866.27	529.6	Elmos World The Sky Active.avi
7838074559	SMP	1	867.55	530.05	867.55	530.05	Elmos World The Sky Active.avi
7838082894	SMP	1	867.33	531.97	867.33	531.97	Elmos World The Sky Active.avi
7838091109	SMP	1	866.86	531.11	866.86	531.11	Elmos World The Sky Active.avi
7838099580	SMP	1	867.08	531.02	867.08	531.02	Elmos World The Sky Active.avi
7838108341	SMP	1	867.06	531.23	867.06	531.23	Elmos World The Sky Active.avi
7838116113	SMP	1	867.08	530.45	867.08	530.45	Elmos World The Sky Active.avi
7838124576	SMP	1	868.65	531.26	868.65	531.26	Elmos World The Sky Active.avi
7838132905	SMP	1	869.38	531.07	869.38	531.07	Elmos World The Sky Active.avi
7838141283	SMP	1	870.38	532.16	870.38	532.16	Elmos World The Sky Active.avi
7838149488	SMP	1	870.38	531.56	870.38	531.56	Elmos World The Sky Active.avi
7838157936	SMP	1	870.72	530.51	870.72	530.51	Elmos World The Sky Active.avi
7838166249	SMP	1	870.32	530.08	870.32	530.08	Elmos World The Sky Active.avi
7838174669	SMP	1	870.97	529.66	870.97	529.66	Elmos World The Sky Active.avi
7838182850	SMP	1	871.42	529.6	871.42	529.6	Elmos World The Sky Active.avi
7838191211	SMP	1	872.26	529.13	872.26	529.13	Elmos World The Sky Active.avi
7838199586	SMP	1	874.05	528.8	874.05	528.8	Elmos World The Sky Active.avi
7838208061	SMP	1	875	528.9	875	528.9	Elmos World The Sky Active.avi
7838216235	SMP	1	874.07	528.61	874.07	528.61	Elmos World The Sky Active.avi
7838224583	SMP	1	874.22	529.76	874.22	529.76	Elmos World The Sky Active.avi
7838233093	SMP	1	873.41	529.13	873.41	529.13	Elmos World The Sky Active.avi
7838241408	SMP	1	873.65	529.94	873.65	529.94	Elmos World The Sky Active.avi
7838249618	SMP	1	873.67	530.23	873.67	530.23	Elmos World The Sky Active.avi
7838258106	SMP	1	873.74	531.87	873.74	531.87	Elmos World The Sky Active.avi
7838266362	SMP	1	874.02	531.94	874.02	531.94	Elmos World The Sky Active.avi
7838274644	SMP	1	873.49	531.7	873.49	531.7	Elmos World The Sky Active.avi
7838283034	SMP	1	872.44	532.24	872.44	532.24	Elmos World The Sky Active.avi
7838291402	SMP	1	871.22	532.31	871.22	532.31	Elmos World The Sky Active.avi
7838299746	SMP	1	870.76	532.66	870.76	532.66	Elmos World The Sky Active.avi
7838308044	SMP	1	869.8	532.52	869.8	532.52	Elmos World The Sky Active.avi
7838316365	SMP	1	868.18	532.32	868.18	532.32	Elmos World The Sky Active.avi
7838324719	SMP	1	868.29	532.28	868.29	532.28	Elmos World The Sky Active.avi
7838333134	SMP	1	867.99	532.94	867.99	532.94	Elmos World The Sky Active.avi
7838341375	SMP	1	867.06	534.04	867.06	534.04	Elmos World The Sky Active.avi
7838349753	SMP	1	866.66	533.33	866.66	533.33	Elmos World The Sky Active.avi
7838358214	SMP	1	866.32	533.96	866.32	533.96	Elmos World The Sky Active.avi
7838366518	SMP	1	865.79	534.96	865.79	534.96	Elmos World The Sky Active.avi
7838374757	SMP	1	865.26	536.61	865.26	536.61	Elmos World The Sky Active.avi
7838383176	SMP	1	865.97	538.56	865.97	538.56	Elmos World The Sky Active.avi
7838391468	SMP	1	865.34	538.78	865.34	538.78	Elmos World The Sky Active.avi
7838399886	SMP	1	865.29	540	865.29	540	Elmos World The Sky Active.avi
7838408123	SMP	1	866.01	540.59	866.01	540.59	Elmos World The Sky Active.avi
7838416476	SMP	1	866.22	540.17	866.22	540.17	Elmos World The Sky Active.avi
7838424853	SMP	1	865.79	540.53	865.79	540.53	Elmos World The Sky Active.avi
