## [iView]
## Converted from:	\\langcog-NAS.stanford.edu\Experiments\TAB_COMP\EyeTracking\CDM Data\2014_9_13_99-eye_data.idf
## Date:	13.09.2014 19:35:35
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	24612                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2014_9_13_99                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
8165146754	SMP	1	187.69	991.52	187.69	991.52	Elmos World The Sky Active.avi
8165155177	SMP	1	187.13	994.65	187.13	994.65	Elmos World The Sky Active.avi
8165163351	SMP	1	189.02	994.28	189.02	994.28	Elmos World The Sky Active.avi
8165171740	SMP	1	187.8	996.35	187.8	996.35	Elmos World The Sky Active.avi
8165180125	SMP	1	188.8	998.63	188.8	998.63	Elmos World The Sky Active.avi
8165188507	SMP	1	189.77	1000.49	189.77	1000.49	Elmos World The Sky Active.avi
8165196797	SMP	1	254.35	1080.03	254.35	1080.03	Elmos World The Sky Active.avi
8165205114	SMP	1	366.35	1166.16	366.35	1166.16	Elmos World The Sky Active.avi
8165213521	SMP	1	404.93	1235.32	404.93	1235.32	Elmos World The Sky Active.avi
8165221961	SMP	1	438.43	1273.63	438.43	1273.63	Elmos World The Sky Active.avi
8165230114	SMP	1	444.2	1264.11	444.2	1264.11	Elmos World The Sky Active.avi
8165238502	SMP	1	447.55	1268.31	447.55	1268.31	Elmos World The Sky Active.avi
8165246888	SMP	1	454.06	1278.32	454.06	1278.32	Elmos World The Sky Active.avi
8165255291	SMP	1	455.94	1276.86	455.94	1276.86	Elmos World The Sky Active.avi
8165263572	SMP	1	457.14	1269.5	457.14	1269.5	Elmos World The Sky Active.avi
8165271946	SMP	1	458.86	1269.85	458.86	1269.85	Elmos World The Sky Active.avi
8165281232	SMP	1	458.67	1264.33	458.67	1264.33	Elmos World The Sky Active.avi
8165288541	SMP	1	457.94	1271.29	457.94	1271.29	Elmos World The Sky Active.avi
8165296859	SMP	1	458.04	1274.59	458.04	1274.59	Elmos World The Sky Active.avi
8165305348	SMP	1	460.34	1272.44	460.34	1272.44	Elmos World The Sky Active.avi
8165313787	SMP	1	460.25	1275.36	460.25	1275.36	Elmos World The Sky Active.avi
8165322025	SMP	1	461.68	1270.92	461.68	1270.92	Elmos World The Sky Active.avi
8165330279	SMP	1	459.65	1275.37	459.65	1275.37	Elmos World The Sky Active.avi
8165338647	SMP	1	459.56	1270.6	459.56	1270.6	Elmos World The Sky Active.avi
8165346968	SMP	1	458.45	1269.15	458.45	1269.15	Elmos World The Sky Active.avi
8165355287	SMP	1	459.14	1271.12	459.14	1271.12	Elmos World The Sky Active.avi
8165363647	SMP	1	457.41	1274.87	457.41	1274.87	Elmos World The Sky Active.avi
8165372140	SMP	1	456.67	1268.66	456.67	1268.66	Elmos World The Sky Active.avi
8165380437	SMP	1	454.57	1265.25	454.57	1265.25	Elmos World The Sky Active.avi
8165388691	SMP	1	453.01	1270.82	453.01	1270.82	Elmos World The Sky Active.avi
8165397015	SMP	1	448.88	1273.72	448.88	1273.72	Elmos World The Sky Active.avi
8165405399	SMP	1	451.5	1261.9	451.5	1261.9	Elmos World The Sky Active.avi
8165413836	SMP	1	450.24	1273.94	450.24	1273.94	Elmos World The Sky Active.avi
8165422050	SMP	1	455.06	1273.6	455.06	1273.6	Elmos World The Sky Active.avi
8165430398	SMP	1	455.59	1261.31	455.59	1261.31	Elmos World The Sky Active.avi
8165438779	SMP	1	442.88	1258.26	442.88	1258.26	Elmos World The Sky Active.avi
8165447175	SMP	1	384.1	1216.83	384.1	1216.83	Elmos World The Sky Active.avi
8165455416	SMP	1	372.77	1166.04	372.77	1166.04	Elmos World The Sky Active.avi
8165463757	SMP	1	347.92	1161.07	347.92	1161.07	Elmos World The Sky Active.avi
8165472121	SMP	1	338.53	1160.87	338.53	1160.87	Elmos World The Sky Active.avi
8165480354	SMP	1	342.56	1153.2	342.56	1153.2	Elmos World The Sky Active.avi
8165488786	SMP	1	338.84	1157.09	338.84	1157.09	Elmos World The Sky Active.avi
8165497088	SMP	1	338.11	1168.24	338.11	1168.24	Elmos World The Sky Active.avi
8165505485	SMP	1	338.05	1155.62	338.05	1155.62	Elmos World The Sky Active.avi
8165513898	SMP	1	339.42	1161.48	339.42	1161.48	Elmos World The Sky Active.avi
8165522134	SMP	1	337.05	1157.85	337.05	1157.85	Elmos World The Sky Active.avi
8165530452	SMP	1	334.34	1160.27	334.34	1160.27	Elmos World The Sky Active.avi
8165538771	SMP	1	334.86	1159.51	334.86	1159.51	Elmos World The Sky Active.avi
8165547088	SMP	1	334.13	1160.7	334.13	1160.7	Elmos World The Sky Active.avi
8165555542	SMP	1	332.06	1160.79	332.06	1160.79	Elmos World The Sky Active.avi
8165563896	SMP	1	334.72	1161.87	334.72	1161.87	Elmos World The Sky Active.avi
8165572108	SMP	1	332.96	1163.19	332.96	1163.19	Elmos World The Sky Active.avi
8165580515	SMP	1	334.24	1163.79	334.24	1163.79	Elmos World The Sky Active.avi
8165588896	SMP	1	337.19	1164.1	337.19	1164.1	Elmos World The Sky Active.avi
8165597265	SMP	1	334.74	1163.6	334.74	1163.6	Elmos World The Sky Active.avi
8165605508	SMP	1	333.64	1163.27	333.64	1163.27	Elmos World The Sky Active.avi
8165613873	SMP	1	333.15	1162.69	333.15	1162.69	Elmos World The Sky Active.avi
8165622262	SMP	1	338.32	1163.59	338.32	1163.59	Elmos World The Sky Active.avi
8165630654	SMP	1	337.05	1163.82	337.05	1163.82	Elmos World The Sky Active.avi
8165638910	SMP	1	336.8	1161	336.8	1161	Elmos World The Sky Active.avi
8165647284	SMP	1	337.41	1164.16	337.41	1164.16	Elmos World The Sky Active.avi
8165655654	SMP	1	336.46	1161.26	336.46	1161.26	Elmos World The Sky Active.avi
8165663992	SMP	1	334.32	1163.82	334.32	1163.82	Elmos World The Sky Active.avi
8165672237	SMP	1	334.32	1163.11	334.32	1163.11	Elmos World The Sky Active.avi
8165680631	SMP	1	335.77	1160.5	335.77	1160.5	Elmos World The Sky Active.avi
8165689049	SMP	1	332.19	1161.94	332.19	1161.94	Elmos World The Sky Active.avi
8165697284	SMP	1	334.38	1160.73	334.38	1160.73	Elmos World The Sky Active.avi
8165705612	SMP	1	408.55	1118.36	408.55	1118.36	Elmos World The Sky Active.avi
8165714021	SMP	1	513.9	925.23	513.9	925.23	Elmos World The Sky Active.avi
8165722382	SMP	1	535.74	881.56	535.74	881.56	Elmos World The Sky Active.avi
8165730635	SMP	1	569.86	848.17	569.86	848.17	Elmos World The Sky Active.avi
8165739015	SMP	1	585.99	810.01	585.99	810.01	Elmos World The Sky Active.avi
8165747394	SMP	1	586.87	837.07	586.87	837.07	Elmos World The Sky Active.avi
8165755891	SMP	1	593.38	817.74	593.38	817.74	Elmos World The Sky Active.avi
8165764020	SMP	1	595.15	818.42	595.15	818.42	Elmos World The Sky Active.avi
8165772382	SMP	1	595.41	817.35	595.41	817.35	Elmos World The Sky Active.avi
8165780769	SMP	1	597.96	821.85	597.96	821.85	Elmos World The Sky Active.avi
8165789132	SMP	1	602.87	811.59	602.87	811.59	Elmos World The Sky Active.avi
8165797383	SMP	1	598.63	815.96	598.63	815.96	Elmos World The Sky Active.avi
8165805714	SMP	1	599.76	819.81	599.76	819.81	Elmos World The Sky Active.avi
8165814165	SMP	1	598.56	814.98	598.56	814.98	Elmos World The Sky Active.avi
8165822423	SMP	1	601.58	809.01	601.58	809.01	Elmos World The Sky Active.avi
8165830722	SMP	1	600.3	814.58	600.3	814.58	Elmos World The Sky Active.avi
8165839126	SMP	1	601.43	808.92	601.43	808.92	Elmos World The Sky Active.avi
8165847511	SMP	1	600.94	803.32	600.94	803.32	Elmos World The Sky Active.avi
8165855783	SMP	1	597.14	809.07	597.14	809.07	Elmos World The Sky Active.avi
8165864116	SMP	1	598.29	800.88	598.29	800.88	Elmos World The Sky Active.avi
8165872503	SMP	1	597.44	798.47	597.44	798.47	Elmos World The Sky Active.avi
8165880886	SMP	1	595.75	797.01	595.75	797.01	Elmos World The Sky Active.avi
8165889167	SMP	1	595.91	800.78	595.91	800.78	Elmos World The Sky Active.avi
8165897469	SMP	1	593.86	794.55	593.86	794.55	Elmos World The Sky Active.avi
8165914212	SMP	1	596.66	795.07	596.66	795.07	Elmos World The Sky Active.avi
8165922497	SMP	1	593.47	796.71	593.47	796.71	Elmos World The Sky Active.avi
8165930886	SMP	1	592.86	796.6	592.86	796.6	Elmos World The Sky Active.avi
8165939255	SMP	1	593.55	798.32	593.55	798.32	Elmos World The Sky Active.avi
8165947845	SMP	1	594.33	794.69	594.33	794.69	Elmos World The Sky Active.avi
8165955885	SMP	1	598.16	792.63	598.16	792.63	Elmos World The Sky Active.avi
8165964235	SMP	1	597.54	793.47	597.54	793.47	Elmos World The Sky Active.avi
8165972605	SMP	1	596.74	793.64	596.74	793.64	Elmos World The Sky Active.avi
8165981323	SMP	1	597.17	793.31	597.17	793.31	Elmos World The Sky Active.avi
8165989249	SMP	1	597.31	791.35	597.31	791.35	Elmos World The Sky Active.avi
8165997636	SMP	1	598.45	790.26	598.45	790.26	Elmos World The Sky Active.avi
8166006009	SMP	1	597.37	792.08	597.37	792.08	Elmos World The Sky Active.avi
8166014277	SMP	1	598.5	796.06	598.5	796.06	Elmos World The Sky Active.avi
8166022624	SMP	1	601.59	790.75	601.59	790.75	Elmos World The Sky Active.avi
8166031015	SMP	1	602.43	789.03	602.43	789.03	Elmos World The Sky Active.avi
8166039387	SMP	1	602.48	788.17	602.48	788.17	Elmos World The Sky Active.avi
8166047661	SMP	1	600.76	789.16	600.76	789.16	Elmos World The Sky Active.avi
8166056004	SMP	1	601.16	788.99	601.16	788.99	Elmos World The Sky Active.avi
8166064357	SMP	1	602.52	787.17	602.52	787.17	Elmos World The Sky Active.avi
8166072760	SMP	1	604.6	787.12	604.6	787.12	Elmos World The Sky Active.avi
8166081021	SMP	1	604.13	787.21	604.13	787.21	Elmos World The Sky Active.avi
8166089357	SMP	1	612.6	766.15	612.6	766.15	Elmos World The Sky Active.avi
8166097706	SMP	1	714.39	671.74	714.39	671.74	Elmos World The Sky Active.avi
8166105946	SMP	1	717.07	612.02	717.07	612.02	Elmos World The Sky Active.avi
8166114440	SMP	1	707.81	606.28	707.81	606.28	Elmos World The Sky Active.avi
8166122759	SMP	1	711.72	596.93	711.72	596.93	Elmos World The Sky Active.avi
8166131141	SMP	1	712.93	592.59	712.93	592.59	Elmos World The Sky Active.avi
8166139344	SMP	1	713.35	589.02	713.35	589.02	Elmos World The Sky Active.avi
8166148023	SMP	1	710.42	589.21	710.42	589.21	Elmos World The Sky Active.avi
8166156193	SMP	1	712.78	593.16	712.78	593.16	Elmos World The Sky Active.avi
8166164523	SMP	1	715.32	593.21	715.32	593.21	Elmos World The Sky Active.avi
8166172762	SMP	1	713.01	589.6	713.01	589.6	Elmos World The Sky Active.avi
8166181129	SMP	1	712.74	588.05	712.74	588.05	Elmos World The Sky Active.avi
8166189520	SMP	1	713.26	587.69	713.26	587.69	Elmos World The Sky Active.avi
8166197897	SMP	1	714.7	587.34	714.7	587.34	Elmos World The Sky Active.avi
8166206058	SMP	1	715.03	586	715.03	586	Elmos World The Sky Active.avi
8166214507	SMP	1	714.98	588.05	714.98	588.05	Elmos World The Sky Active.avi
8166222981	SMP	1	715.24	588.81	715.24	588.81	Elmos World The Sky Active.avi
8166231105	SMP	1	714.97	591.77	714.97	591.77	Elmos World The Sky Active.avi
8166239507	SMP	1	716.6	593.29	716.6	593.29	Elmos World The Sky Active.avi
8166247902	SMP	1	716.65	592.42	716.65	592.42	Elmos World The Sky Active.avi
8166256265	SMP	1	715.75	592.4	715.75	592.4	Elmos World The Sky Active.avi
8166264479	SMP	1	716.16	595.22	716.16	595.22	Elmos World The Sky Active.avi
8166272944	SMP	1	716.97	596.21	716.97	596.21	Elmos World The Sky Active.avi
8166281829	SMP	1	716.96	596.59	716.96	596.59	Elmos World The Sky Active.avi
8166289626	SMP	1	717.36	598.17	717.36	598.17	Elmos World The Sky Active.avi
8166297855	SMP	1	717.85	597.97	717.85	597.97	Elmos World The Sky Active.avi
8166306231	SMP	1	718.14	598.58	718.14	598.58	Elmos World The Sky Active.avi
8166314627	SMP	1	714.5	598.14	714.5	598.14	Elmos World The Sky Active.avi
8166323041	SMP	1	712.82	596.35	712.82	596.35	Elmos World The Sky Active.avi
8166331184	SMP	1	713.4	596.19	713.4	596.19	Elmos World The Sky Active.avi
8166339634	SMP	1	714.4	596.65	714.4	596.65	Elmos World The Sky Active.avi
8166348023	SMP	1	715.71	596.27	715.71	596.27	Elmos World The Sky Active.avi
8166356254	SMP	1	716.96	594.85	716.96	594.85	Elmos World The Sky Active.avi
8166364610	SMP	1	715.52	592.61	715.52	592.61	Elmos World The Sky Active.avi
8166372999	SMP	1	713.68	592.12	713.68	592.12	Elmos World The Sky Active.avi
8166381478	SMP	1	715.52	589.94	715.52	589.94	Elmos World The Sky Active.avi
8166389625	SMP	1	712.44	591.13	712.44	591.13	Elmos World The Sky Active.avi
8166397989	SMP	1	712.34	591.74	712.34	591.74	Elmos World The Sky Active.avi
8166406367	SMP	1	714.7	590.59	714.7	590.59	Elmos World The Sky Active.avi
8166414727	SMP	1	717.34	590.98	717.34	590.98	Elmos World The Sky Active.avi
8166423038	SMP	1	719.42	589.82	719.42	589.82	Elmos World The Sky Active.avi
8166431371	SMP	1	719.16	590.03	719.16	590.03	Elmos World The Sky Active.avi
8166439730	SMP	1	719.46	590.33	719.46	590.33	Elmos World The Sky Active.avi
8166448132	SMP	1	714.23	590.87	714.23	590.87	Elmos World The Sky Active.avi
8166456360	SMP	1	716.15	590.47	716.15	590.47	Elmos World The Sky Active.avi
8166464769	SMP	1	716.49	590.4	716.49	590.4	Elmos World The Sky Active.avi
8166473089	SMP	1	716.49	589.67	716.49	589.67	Elmos World The Sky Active.avi
8166481747	SMP	1	717.26	587.59	717.26	587.59	Elmos World The Sky Active.avi
8166489747	SMP	1	717.5	585.48	717.5	585.48	Elmos World The Sky Active.avi
8166498107	SMP	1	716.41	584.67	716.41	584.67	Elmos World The Sky Active.avi
8166506473	SMP	1	714.6	582.23	714.6	582.23	Elmos World The Sky Active.avi
8166514762	SMP	1	711.06	582.38	711.06	582.38	Elmos World The Sky Active.avi
8166523112	SMP	1	708.11	583.6	708.11	583.6	Elmos World The Sky Active.avi
8166531473	SMP	1	708.39	581.31	708.39	581.31	Elmos World The Sky Active.avi
8166539842	SMP	1	708.53	580.8	708.53	580.8	Elmos World The Sky Active.avi
8166548135	SMP	1	707.81	579.85	707.81	579.85	Elmos World The Sky Active.avi
8166556581	SMP	1	707.51	580.42	707.51	580.42	Elmos World The Sky Active.avi
8166564885	SMP	1	706.61	581.38	706.61	581.38	Elmos World The Sky Active.avi
8166573211	SMP	1	706.91	582.23	706.91	582.23	Elmos World The Sky Active.avi
8166582179	SMP	1	705.68	582.92	705.68	582.92	Elmos World The Sky Active.avi
8166589919	SMP	1	705.77	584.98	705.77	584.98	Elmos World The Sky Active.avi
8166598235	SMP	1	706.93	585.6	706.93	585.6	Elmos World The Sky Active.avi
8166606594	SMP	1	710.51	584.66	710.51	584.66	Elmos World The Sky Active.avi
8166614879	SMP	1	711.23	583.11	711.23	583.11	Elmos World The Sky Active.avi
8166623202	SMP	1	711.62	584.24	711.62	584.24	Elmos World The Sky Active.avi
8166631596	SMP	1	711.78	581.93	711.78	581.93	Elmos World The Sky Active.avi
8166639893	SMP	1	713.65	582.56	713.65	582.56	Elmos World The Sky Active.avi
8166648274	SMP	1	713.47	583.41	713.47	583.41	Elmos World The Sky Active.avi
8166656618	SMP	1	713.51	584.93	713.51	584.93	Elmos World The Sky Active.avi
8166664966	SMP	1	711.19	587.29	711.19	587.29	Elmos World The Sky Active.avi
8166673219	SMP	1	710.44	589.19	710.44	589.19	Elmos World The Sky Active.avi
8166681632	SMP	1	711.72	591.01	711.72	591.01	Elmos World The Sky Active.avi
8166689995	SMP	1	711.35	588.89	711.35	588.89	Elmos World The Sky Active.avi
8166698367	SMP	1	708.21	589.56	708.21	589.56	Elmos World The Sky Active.avi
8166706590	SMP	1	709.07	588.94	709.07	588.94	Elmos World The Sky Active.avi
8166714993	SMP	1	708.8	594.85	708.8	594.85	Elmos World The Sky Active.avi
8166723343	SMP	1	708.1	595.22	708.1	595.22	Elmos World The Sky Active.avi
8166731787	SMP	1	706.99	594.28	706.99	594.28	Elmos World The Sky Active.avi
8166739973	SMP	1	706.5	597.19	706.5	597.19	Elmos World The Sky Active.avi
8166748671	SMP	1	706.85	594.59	706.85	594.59	Elmos World The Sky Active.avi
8166756674	SMP	1	707.1	595.11	707.1	595.11	Elmos World The Sky Active.avi
8166765125	SMP	1	703.15	594.69	703.15	594.69	Elmos World The Sky Active.avi
8166773391	SMP	1	703.19	596.3	703.19	596.3	Elmos World The Sky Active.avi
8166781930	SMP	1	703.76	595.55	703.76	595.55	Elmos World The Sky Active.avi
8166790089	SMP	1	708.23	595.73	708.23	595.73	Elmos World The Sky Active.avi
8166798371	SMP	1	704.52	594.8	704.52	594.8	Elmos World The Sky Active.avi
8166806751	SMP	1	706.8	596.88	706.8	596.88	Elmos World The Sky Active.avi
8166815120	SMP	1	705.87	594.06	705.87	594.06	Elmos World The Sky Active.avi
8166823496	SMP	1	707.23	599.53	707.23	599.53	Elmos World The Sky Active.avi
8166831748	SMP	1	711.19	596.27	711.19	596.27	Elmos World The Sky Active.avi
