method,SID,age,list,sex,hispanic,ethnicity,english,num_lang,parent_ed,other_ed,premie,notes,exclusion.crit,exclude
storybook,2014_7_8_6,3.136986301,1,female,no,white,100,1,6,2,0,,,0
storybook,2014_7_8_7,3.219178082,1,female,no,asian,100,2,6,6,0,,,0
storybook,2014_7_8_8,2.794520548,1,female,no,white,100,1,6,3,0,,,0
storybook,2014_7_8_9,4.210958904,1,female,no,white,100,1,6,4,0,,,0
storybook,2014_7_8_10,2.736986301,1,female,no,white,100,2,6,6,0,,,0
storybook,2014_7_8_11,3.350684932,1,female,no,white,100,1,6,4,0,,,0
storybook,2014_7_8_12,3.471232877,1,male,no,white,100,1,4,6,0,,,0
storybook,2014_7_8_13,3.947945205,1,female,yes,white/puertorican,100,1,3,3,0,"changed mind on ""wug""",,0
storybook,2014_7_8_14,3.221917808,1,female,yes,white,90,3,3,2,0,,,0
storybook,2014_7_15_15,1.578082192,1,female,yes,southamerican/peruvian,100,1,3,3,0,,,0
storybook,2014_7_15_16,2.024657534,1,female,no,white,100,1,1,4,0,,,0
storybook,2014_7_15_17,2.197260274,1,female,no,white,100,1,6,3,0,,,0
storybook,2014_7_15_18,3.367123288,1,female,no,asian/white,100,2,6,5,0,,,0
storybook,2014_7_15_19,1.64109589,1,male,no,white,100,1,6,6,0,,,0
storybook,2014_7_15_20,3.715068493,2,male,no,asian/white,90,3,4,4,0,,,0
storybook,2014_7_15_21,4.090410959,1,female,no,asian,50,2,4,4,0,EXCLUDE- only 50% English,lang,1
storybook,2014_7_15_22,2.687671233,2,female,no,asian/white,90,2,6,6,0,,,0
storybook,2014_7_15_23,1.82739726,1,male,no,white,100,1,6,6,1,didn't finish,,0
storybook,2014_7_15_24,3.468493151,2,male,no,white,100,1,4,4,0,,,0
storybook,2014_7_30_25,3.216438356,1,female,no,Asian/White,100,2,3,4,0,,,0
storybook,2014_7_30_26,3.424657534,1,female,no,White,100,1,4,3,0,I accidentally said the opposite word twice so data cannot be used,error,1
storybook,2014_7_30_27,1.668493151,1,female,no,white,90,3,6,4,0,,,0
storybook,2014_7_30_28,4.6,1,female,yes,blank,100,1,6,6,0,,,0
storybook,2014_7_30_29,2.090410959,1,female,no,Asian,50,2,6,4,0,EXCLUDE- only 50% English,lang,1
storybook,2014_7_30_30,4.884931507,1,male,no,white,100,2,6,6,0,,,0
storybook,2014_7_30_31,5.002739726,1,male,no,white,100,1,6,4,0,EXCLUDE- too old,age,1
storybook,2014_7_30_32,2.871232877,1,female,no,white,100,1,6,4,0,,,0
storybook,2014_7_31_33,4.789041096,1,female,no,white,100,2,3,4,0,,,0
storybook,2014_7_31_34,3.150684932,1,male,no,white,100,1,5,4,0,,,0
storybook,2014_7_31_35,4.279452055,1,female,no,asian indian,90,2,6,6,0,,,0
storybook,2014_7_31_36,4.082191781,1,female,yes,white,25,2,2,2,0,EXCLUDE--language,lang,1
storybook,2014_7_31_37,4.416438356,1,male,no,irish/malaysian,100,2,6,6,0,,,0
storybook,2014_7_31_38,3.843835616,1,male,no,white,100,1,6,4,1,"premature: 25wks; tried first 5 trials with younger sister, but prob still valid since she didn't answer most of them",dd,1
storybook,2014_7_31_39,3.208219178,2,female,no,white,100,1,4,6,0,EXCLUDE: purposely chose wrong answers,non-compliant,1
storybook,2014_7_31_40,4.298630137,1,female,yes,white,75,2,3,3,0,,,0
storybook,2014_7_31_41,2.454794521,1,female,no,asian/white,100,1,3,3,0,,,0
storybook,2014_7_31_42,4.860273973,1,male,no,white,100,2,4,6,1,,,0
storybook,2014_8_1_43,3.243835616,2,male,no,asian,90,2,6,4,0,,,0
storybook,2014_8_1_44,4.6,1,male,no,asian,90,2,6,6,0,,,0
storybook,2014_8_1_45,2.676712329,2,male,no,white,90,2,5,4,0,,,0
storybook,2014_8_1_46,3.224657534,2,female,no,white/asian,100,1,6,6,0,,,0
storybook,2014_8_1_47,2.410958904,1,male,no,white,100,1,6,4,0,,,0
storybook,2014_8_1_48,2.550684932,1,male,yes,white,100,1,4,4,0,,,0
storybook,2014_8_1_49,2.512328767,1,female,yes,blank,50,2,3,3,0,EXCLUDE- language ,lang,1
storybook,2014_8_1_50,1.712328767,1,male,yes,white,90,2,4,3,0,Didn't complete,,0
storybook,2014_8_1_51,2.78630137,1,male,no,asian,25,2,6,,0,EXCLUDE- language ,lang,1
storybook,2014_8_5_52,2.778082192,1,female,no,white,90,1,6,4,1,premature,,0
storybook,2014_8_5_53,2.536986301,1,female,no,white,90,2,6,6,0,,,0
storybook,2014_8_5_54,1.975342466,1,male,no,asian,100,1,4,4,0,"excluded trials for no answer (1+2), parent interference (7), and ambiguous pointing (15)",interference,1
storybook,2014_8_5_55,2.964383562,1,male,no,other (caucasian - Iranian descent),75,2,6,6,0,,,0
storybook,2014_8_5_56,2.315068493,2,male,yes,white,25,2,6,2,0,EXCLUDE- language,lang,1
storybook,2014_8_6_57,2.350684932,2,male,no,white/black/asian,100,1,6,4,0,,,0
storybook,2014_8_6_58,2.153424658,2,male,no,asian,25,2,6,6,0,EXCLUDE- language,lang,1
storybook,2014_8_6_59,2.268493151,2,male,no,white,100,1,6,6,0,Only finished a little over half ,,0
storybook,2014_8_6_60,4.364383562,1,female,yes,,75,2,6,6,0,,,0
storybook,2014_8_6_61,2.693150685,2,male,yes,,50,2,6,6,0,EXCLUDE- language but understood everything and sister went before and parent marked 75% for her,lang,1
storybook,2014_8_6_62,1.610958904,1,male,no,asian,75,3,4,6,0,"EXCLUDE- didn't want to answer any of the questions, no data",non-compliant,1
