subject id,list,trial number,word,pic1,pic2,pic1type,pic2type,side clicked,chosenpic,response,trial type,datetesting,time,reaction time
71114-1,1,1,dog,dog,book,familiar,familiar,L,dog,Y,rec,7/11/14,13:47,1705
71114-1,1,2,cookie,cookie,baby,familiar,familiar,L,cookie,Y,rec,7/11/14,13:47,1392
71114-1,1,3,car,fep,car,novel,familiar,R,car,Y,MEcontrol,7/11/14,13:47,2874
71114-1,1,4,dax,dax,cup,novel,familiar,L,dax,Y,MEexperimental,7/11/14,13:47,1718
71114-1,1,5,frog,pifo,frog,novel,familiar,R,frog,Y,MEcontrol,7/11/14,13:47,1117
71114-1,1,6,fill1,na,na,na,na,na,na,na,filler,7/11/14,13:47,na
71114-1,1,7,lion,table,lion,familiar,familiar,R,lion,Y,rec,7/11/14,13:47,1387
71114-1,1,8,modi,modi,shovel,novel,familiar,L,modi,Y,MEexperimental,7/11/14,13:47,3008
71114-1,1,9,apple,wug,apple,novel,familiar,R,apple,Y,MEcontrol,7/11/14,13:47,1193
71114-1,1,10,train,train,dofa,familiar,novel,L,train,Y,MEcontrol,7/11/14,13:47,1536
71114-1,1,11,toma,monkey,toma,familiar,novel,R,toma,Y,MEexperimental,7/11/14,13:47,13514
71114-1,1,12,fill2,na,na,na,na,na,na,na,filler,7/11/14,13:47,na
71114-1,1,13,pifo,frog,pifo,familiar,novel,R,pifo,Y,MEexperimental,7/11/14,13:47,2530
71114-1,1,15,kreeb,kreeb,shoe,novel,familiar,R,shoe,N,MEexperimental,7/11/14,13:47,2953
71114-1,1,16,cat,ball,cat,familiar,familiar,R,cat,Y,rec,7/11/14,13:47,1399
71114-1,1,14,cup,cup,dax,familiar,novel,L,cup,Y,MEcontrol,7/11/14,13:47,1303
71114-1,1,17,monkey,toma,monkey,novel,familiar,R,monkey,Y,MEcontrol,7/11/14,13:47,1562
71114-1,1,18,fill3,na,na,na,na,na,na,na,filler,7/11/14,13:47,na
71114-1,1,19,dofa,dofa,train,novel,familiar,L,dofa,Y,MEexperimental,7/11/14,13:47,4157
71114-1,1,20,fep,car,fep,familiar,novel,R,fep,Y,MEexperimental,7/11/14,13:47,1540
71114-1,1,21,carrot,carrot,lamp,familiar,familiar,L,carrot,Y,rec,7/11/14,13:47,1474
71114-1,1,22,shovel,shovel,modi,familiar,novel,L,shovel,Y,MEcontrol,7/11/14,13:47,2179
71114-1,1,23,hammer,sheep,hammer,familiar,familiar,R,hammer,Y,rec,7/11/14,13:47,2792
71114-1,1,24,fill4,na,na,na,na,na,na,na,filler,7/11/14,13:47,na
71114-1,1,25,wug,apple,wug,familiar,novel,R,wug,Y,MEexperimental,7/11/14,13:47,2080
71114-1,1,26,shoe,shoe,kreeb,familiar,novel,L,shoe,Y,MEcontrol,7/11/14,13:47,1863
71114-1,1,27,horse,horse,clock,familiar,familiar,L,horse,Y,rec,7/11/14,13:47,1490
71114-1,1,28,bottle,bird,bottle,familiar,familiar,R,bottle,Y,rec,7/11/14,13:47,2038
71114-2,1,1,dog,dog,book,familiar,familiar,L,dog,Y,rec,7/11/14,13:59,3414
71114-2,1,2,cookie,cookie,baby,familiar,familiar,L,cookie,Y,rec,7/11/14,13:59,1368
71114-2,1,3,car,fep,car,novel,familiar,R,car,Y,MEcontrol,7/11/14,13:59,1411
71114-2,1,4,dax,dax,cup,novel,familiar,L,dax,Y,MEexperimental,7/11/14,13:59,1863
71114-2,1,5,frog,pifo,frog,novel,familiar,R,frog,Y,MEcontrol,7/11/14,13:59,1162
71114-2,1,6,fill1,na,na,na,na,na,na,na,filler,7/11/14,13:59,na
71114-2,1,7,lion,table,lion,familiar,familiar,R,lion,Y,rec,7/11/14,13:59,1459
71114-2,1,8,modi,modi,shovel,novel,familiar,L,modi,Y,MEexperimental,7/11/14,13:59,1893
71114-2,1,9,apple,wug,apple,novel,familiar,R,apple,Y,MEcontrol,7/11/14,13:59,1227
71114-2,1,10,train,train,dofa,familiar,novel,L,train,Y,MEcontrol,7/11/14,13:59,1325
