trial,trial.type,left,right,word,List
1,familiar-familiar,dog,book,dog,1
2,familiar-familiar,cookie,baby,cookie,1
3,familiar-familiar,bird,bottle,bottle,1
4,familiar-familiar,ball,cat,cat,1
5,familiar-familiar,horse,clock,horse,1
6,familiar-familiar,carrot,lamp,carrot,1
7,familiar-familiar,table,lion,lion,1
8,familiar-familiar,sheep,hammer,hammer,1
9,familiar-NOVEL,car,fep,fep,1
10,familiar-NOVEL,apple,wug,wug,1
11,familiar-NOVEL,dax,cup,dax,1
12,familiar-NOVEL,kreeb,shoe,kreeb,1
13,familiar-NOVEL,monkey,toma,toma,1
14,familiar-NOVEL,frog,pifo,pifo,1
15,familiar-NOVEL,dofa,train,dofa,1
16,familiar-NOVEL,modi,shovel,modi,1
17,FAMILIAR-novel,fep,car,car,1
18,FAMILIAR-novel,wug,apple,apple,1
19,FAMILIAR-novel,cup,dax,cup,1
20,FAMILIAR-novel,shoe,kreeb,shoe,1
21,FAMILIAR-novel,toma,monkey,monkey,1
22,FAMILIAR-novel,pifo,frog,frog,1
23,FAMILIAR-novel,train,dofa,train,1
24,FAMILIAR-novel,shovel,modi,shovel,1
25,filler,doradiego,na,FILL1,1
26,filler,boy,na,FILL2,1
27,filler,girl,na,FILL3,1
28,filler,row,na,FILL4,1
1,familiar-familiar,book,dog,dog,2
2,familiar-familiar,baby,cookie,cookie,2
3,familiar-familiar,bottle,bird,bottle,2
4,familiar-familiar,cat,ball,cat,2
5,familiar-familiar,clock,horse,horse,2
6,familiar-familiar,lamp,carrot,carrot,2
7,familiar-familiar,lion,table,lion,2
8,familiar-familiar,hammer,sheep,hammer,2
9,familiar-NOVEL,fep,car,fep,2
10,familiar-NOVEL,wug,apple,wug,2
11,familiar-NOVEL,cup,dax,dax,2
12,familiar-NOVEL,shoe,kreeb,kreeb,2
13,familiar-NOVEL,toma,monkey,toma,2
14,familiar-NOVEL,pifo,frog,pifo,2
15,familiar-NOVEL,train,dofa,dofa,2
16,familiar-NOVEL,shovel,modi,modi,2
17,FAMILIAR-novel,car,fep,car,2
18,FAMILIAR-novel,apple,wug,apple,2
19,FAMILIAR-novel,dax,cup,cup,2
20,FAMILIAR-novel,kreeb,shoe,shoe,2
21,FAMILIAR-novel,monkey,toma,monkey,2
22,FAMILIAR-novel,frog,pifo,frog,2
23,FAMILIAR-novel,dofa,train,train,2
24,FAMILIAR-novel,modi,shovel,shovel,2
25,filler,na,doradiego,FILL1,2
26,filler,na,boy,FILL2,2
27,filler,na,girl,FILL3,2
28,filler,na,row,FILL4,2
