subid	age	agegroup	gender (m)	hisp (Y)	ethnicity	english	numlang	parented	premature	list
2014_07_03_01	3.668493151	3	1	2	0	6	1	6	0	1
2014_07_03_02	3.232876712	3	2	2	0	4	2	4	0	1
2014_07_03_03	1.835616438	1	2	2	0	5	2	6	0	1
2014_07_03_04	3.295890411	3	2	2	0	4	2	6	0	1
2014_07_03_05	2.189041096	2	2	2	0	6	1	5	0	1
2014_07_29_06	2.82739726	2	2	2	0	3	2	6	0	1
2014_07_29_07	2.361643836	2	2	2	0	5	2	4	0	1
2014_07_29_08	3.353424658	3	2	2	0	5	2	6	0	1
2014_07_29_09	2.15890411	2	1	2	0	6	1	6	0	1
2014_07_29_10	4.975342466	4	1	2	0	6	1	6	0	1
2014_08_01_03	4.547945205	4	1	2	0	6	1	6	0	2
2014_08_01_11	4.794520548	4	2	1	0	4	2	4	0	2
2014_08_01_12	4.98630137	4	1	1	0	6	1	4	0	2
2014_08_01_13	3.216438356	3	1	2	0	2	2	6	0	2
2014_08_01_14	4.356164384	4	2	2	0	4	2	6	0	2
2014_08_05_15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2014_08_05_16	4.120547945	4	2	2	0	5	2	6	0	1
2014_08_05_17	2.616438356	2	1	2	0	3	2	6	0	1
2014_08_05_18	3.808219178	3	1	2	0	4	4	6	0	1
2014_08_05_19	2.221917808	2	2	2	0	4	2	6	0	1
2014_08_15_20	3.876712329	3	2	2	0	6	1	6	0	2
2014_08_15_21	3.506849315	3	2	2	0	4	2	6	0	2
2014_08_15_22	3.706849315	3	1	2	0	6	1	6	0	2
2014_08_15_23	1.079452055	1	2	2	0	6	1	6	0	2
2014_08_15_24	3.917808219	3	2	2	0	6	2	4	0	2
2014_08_15_25	3.791780822	3	2	2	0	3	2	6	0	2
2014_08_15_26	4.180821918	4	1	2	0	6	1	6	0	2
2014_08_15_27	3.164383562	3	1	2	0	2	2	3	0	2
2014_08_18_28	3.131506849	3	1	1	0	4	3	6	0	2
2014_08_18_29	3.687671233	3	1	2	0	5	3	4	0	2
2014_08_18_30	3.126027397	3	2	2	0	6	1	6	0	2
2014_08_18_31	2.367123288	2	1	2	0	4	2	6	0	2
2014_08_18_32	4.024657534	4	2	2	0	5	2	4	0	2
2014_08_18_33	4.164383562	4	2	1	0	6	1	4	0	2
2014_08_18_34	2.75890411	2	2	1	0	6	1	4	0	2
2014_08_18_35	3.589041096	3	2	2	0	6	2	6	0	2
2014_08_20_36	4.219178082	4	2	2	0	4	2	6	0	2
2014_08_20_37	3.265753425	3	1	2	0	6	1	4	1	2
2014_08_20_38	2.863013699	2	2	2	0	6	1	6	0	2
2014_08_20_39	3.002739726	3	1	2	0	2	2	6	0	2
2014_08_20_40	2.687671233	2	1	2	0	3	2	6	0	2
2014_08_20_41	3.657534247	3	1	NaN	0	6	1	4	0	2
2014_08_20_42	3.756164384	3	1	1	0	5	2	4	0	2
2014_08_22_43	2.621917808	2	2	2	0	6	1	3	0	1
2014_08_22_44	1.810958904	1	2	2	0	6	3	6	0	1
2014_08_22_45	2.030136986	2	1	1	0	6	1	6	0	1
2014_08_22_46	3.583561644	3	1	2	0	6	2	4	0	1
2014_08_22_47	4.62739726	4	1	2	0	5	2	6	0	1
2014_08_22_48	2.038356164	2	2	2	0	3	2	4	0	1
2014_08_22_49	4.01369863	4	2	2	0	5	3	6	0	1
2014_08_22_50	3.202739726	3	1	2	0	6	1	6	0	1
2014_08_22_51	3.139726027	3	2	1	0	4	2	3	0	1
2014_08_24_52	3.660273973	3	1	2	0	4	2	4	0	1
2014_08_24_53	3.2	3	1	2	0	4	2	6	0	1
2014_08_24_54	2.504109589	2	1	2	0	1	2	6	0	1
2014_08_24_55	4.849315068	4	1	2	0	NaN	NaN	6	NaN	1
2014_08_24_56	2.62739726	2	1	1	0	6	1	3	0	1
2014_08_26_57	2.95890411	2	1	1	0	5	2	6	1	1
2014_08_27_58	1.706849315	1	2	2	0	2	2	4	0	1
2014_08_27_59	1.983561644	1	1	2	0	1	2	5	0	1
2014_08_27_60	3.98630137	3	2	2	0	3	2	5	0	1
2014_08_27_61	4.235616438	4	1	1	0	4	3	4	0	1
2014_08_27_62	1.805479452	1	2	1	0	5	2	3	0	1
2014_08_29_63	4.947945205	4	1	2	0	3	2	6	1	2
2014_09_02_64	2.465753425	2	2	2	0	6	1	6	0	2
2014_09_02_65	2.605479452	2	2	2	0	6	1	6	0	2
2014_09_02_66	3.589041096	3	1	1	0	2	2	2	0	2
2014_09_02_67	2.353424658	2	1	2	0	6	1	4	0	2
2014_09_03_68	1.920547945	1	2	2	0	5	1	6	0	1
2014_09_03_69	2.139726027	2	1	2	0	6	1	7	0	1
2014_09_03_70	2.334246575	2	1	2	0	6	NaN	NaN	NaN	2
2014_09_03_71	1.893150685	1	1	2	0	1	2	6	0	2
2014_09_03_72	2.578082192	2	2	2	0	6	1	3	0	2
2014_09_03_73	2.747945205	2	1	2	0	5	3	4	0	2
2014_09_04_74	2.117808219	2	1	2	0	4	3	6	0	2
2014_09_04_75	4.630136986	4	1	2	0	3	2	6	0	2
2014_09_04_76	1.073972603	1	1	2	0	6	1	6	0	2
2014_09_04_77	2.038356164	2	1	2	0	6	1	4	0	2
2014_09_05_78	2.895890411	2	1	2	0	6	1	6	0	2
2014_09_05_79	2.835616438	2	1	2	0	3	2	6	0	2
2014_09_05_80	4.109589041	4	1	1	0	6	1	6	0	2
2014_09_05_81	4.526027397	4	1	1	0	5	2	6	0	2
2014_09_05_82	2.347945205	2	1	1	0	5	2	6	0	2
2014_09_05_83	1.57260274	1	2	2	0	3	2	6	0	2
2014_09_05_84	1.578082192	1	1	NaN	NaN	NaN	NaN	NaN	NaN	2
2014_09_05_85	4.682191781	4	2	2	0	4	4	4	0	2
2014_09_09_86	3.928767123	3	1	2	0	6	1	3	0	1
