SID,List,1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,25,26,27,28,
2014_7_3_6,1,dog,cookie,car,dax,frog,lion,modi,apple,train,monkey,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_7,1,dog,cookie,car,cup,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_8,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_9,1,dog,cookie,car,cup,frog,lion,modi,wug,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_10,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_11,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_3_12,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,apple,shoe,horse,bottle,
2014_7_3_13,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,apple,shoe,horse,bottle,
2014_7_3_14,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,apple,shoe,horse,bottle,
2014_7_15_15,1,dog,cookie,car,cup,frog,lion,shovel,apple,train,monkey,frog,dax,kreeb,cat,monkey,train,car,carrot,modi,hammer,apple,shoe,horse,bottle,
2014_7_15_16,1,dog,cookie,car,dax,frog,lion,modi,apple,dofa,toma,pifo,cup,kreeb,cat,monkey,dofa,car,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_15_17,1,dog,cookie,car,cup,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,changed mind on #19
2014_7_15_18,1,dog,cookie,car,dax,frog,lion,modi,apple,train,toma,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,
2014_7_15_19,1,dog,cookie,car,dax,frog,lion,shovel,apple,train,monkey,frog,cup,shoe,cat,monkey,train,car,carrot,shovel,hammer,wug,kreeb,horse,bottle,
2014_7_15_20,2,bird,n/a,shoe,wug,hammer,shovel,carrot,fep,dofa,monkey,cat,kreeb,cup,pifo,toma,train,apple,modi,lion,frog,dax,car,cookie,dog,
2014_7_15_21,1,dog,cookie,car,dax,frog,lion,modi,apple,train,monkey,pifo,cup,kreeb,cat,monkey,dofa,fep,carrot,shovel,hammer,wug,shoe,horse,bottle,language
2014_7_15_22,2,bottle,horse,shoe,wug,hammer,shovel,carrot,fep,train,monkey,cat,kreeb,cup,pifo,toma,train,apple,modi,lion,frog,dax,car,cookie,dog,
2014_7_15_23,1,dog,cookie,car,dax,pifo,lion,modi,wug,train,monkey,frog,cup,kreeb,ball,monkey,train,car,carrot,shovel,sheep,n/a,n/a,n/a,n/a,
2014_7_15_24,2,n/a,horse,shoe,wug,hammer,n/a,carrot,n/a,dofa,monkey,cat,kreeb,cup,pifo,toma,train,wug,modi,table,frog,dax,car,cookie,dog,check video--uncooperative
